car_make,car_model,vehicle_type,classification_method,evidence,source_url,verification_status
Volkswagen,Tiguan,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:302.,,LLM-reviewed
Volkswagen,Touareg,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:18.,,LLM-reviewed
Volkswagen,Touran,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:8.,,LLM-reviewed
Volkswagen,Vento,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:92.,,LLM-reviewed
Volvo,122S,Sedan,llm-knowledge,Amazon saloon.,,LLM-reviewed
Volvo,123Gt,Sedan,llm-knowledge,Amazon 2-door saloon.,,LLM-reviewed
Volvo,144,Sedan,llm-knowledge,140-series saloon.,,LLM-reviewed
Volvo,164,Sedan,llm-knowledge,160-series saloon.,,LLM-reviewed
Volvo,240,Sedan,llm-knowledge,Saloon (estate variant exists); DB all Sedan.,,LLM-reviewed
Volvo,260,Sedan,llm-knowledge,Saloon (estate variant exists).,,LLM-reviewed
Volvo,740,Sedan,llm-knowledge,Saloon (estate variant exists).,,LLM-reviewed
Volvo,850,Sedan,llm-knowledge,Saloon (estate variant exists); DB Sedan.,,LLM-reviewed
Volvo,940,Sedan,llm-knowledge,Saloon (estate variant exists); DB all Sedan.,,LLM-reviewed
Volvo,960,Sedan,llm-knowledge,Saloon (estate variant exists).,,LLM-reviewed
Volvo,C40,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:6.,,LLM-reviewed
Volvo,Ex30,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Volvo,Ex90,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Volvo,S40,Sedan,llm-knowledge,S = saloon.,,LLM-reviewed
Volvo,S60,Sedan,llm-knowledge,S = saloon; DB 51 Sedan.,,LLM-reviewed
Volvo,S70,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:4.,,LLM-reviewed
Volvo,S80,Sedan,llm-knowledge,S = saloon.,,LLM-reviewed
Volvo,S90,Sedan,llm-knowledge,S = saloon; DB 34 Sedan.,,LLM-reviewed
Volvo,V40,Hatchback,llm-knowledge,2012+ V40 hatch; DB majority Hatchback.,,LLM-reviewed
Volvo,V50,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Others:5.,,LLM-reviewed
Volvo,V60,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Hatchback:4.,,LLM-reviewed
Volvo,V70,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Others:2.,,LLM-reviewed
Volvo,Xc40,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:79.,,LLM-reviewed
Volvo,Xc60,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:134.,,LLM-reviewed
Volvo,Xc90,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:172.,,LLM-reviewed
Weststar,Maxus,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Mpvs:14.,,LLM-reviewed
Xpeng,G6,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Xpeng,X9,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:5.,,LLM-reviewed
Zeekr,009,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:4.,,LLM-reviewed
Zeekr,7X,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Zeekr,X,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Zxauto,Grandtiger,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
